file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,1,css,a27b982d,JaredW022,2026-04-01,19:52:10,-07:00,2026-04-01T19:52:10-07:00,0,4
style.css,2,css,a27b982d,JaredW022,2026-04-01,19:52:10,-07:00,2026-04-01T19:52:10-07:00,1,43
style.css,3,css,a27b982d,JaredW022,2026-04-01,19:52:10,-07:00,2026-04-01T19:52:10-07:00,0,42
style.css,4,css,a27b982d,JaredW022,2026-04-01,19:52:10,-07:00,2026-04-01T19:52:10-07:00,0,0
style.css,5,css,a27b982d,JaredW022,2026-04-01,19:52:10,-07:00,2026-04-01T19:52:10-07:00,1,23
style.css,6,css,50484e6d,JaredW022,2026-04-09,14:05:24,-07:00,2026-04-09T14:05:24-07:00,1,15
style.css,7,css,29f89cbd,JaredW022,2026-04-09,14:07:32,-07:00,2026-04-09T14:07:32-07:00,1,18
style.css,8,css,836cc04f,JaredW022,2026-04-09,14:36:06,-07:00,2026-04-09T14:36:06-07:00,1,11
style.css,9,css,836cc04f,JaredW022,2026-04-09,14:36:06,-07:00,2026-04-09T14:36:06-07:00,1,31
style.css,10,css,f6d77fa4,JaredW022,2026-04-09,14:17:28,-07:00,2026-04-09T14:17:28-07:00,0,0
style.css,11,css,f6d77fa4,JaredW022,2026-04-09,14:17:28,-07:00,2026-04-09T14:17:28-07:00,0,0
style.css,12,css,19a73655,JaredW022,2026-04-09,14:44:52,-07:00,2026-04-09T14:44:52-07:00,0,4
style.css,13,css,19a73655,JaredW022,2026-04-09,14:44:52,-07:00,2026-04-09T14:44:52-07:00,1,31
style.css,14,css,247df262,JaredW022,2026-04-17,15:06:38,-07:00,2026-04-17T15:06:38-07:00,1,23
style.css,15,css,19a73655,JaredW022,2026-04-09,14:44:52,-07:00,2026-04-09T14:44:52-07:00,0,0
style.css,16,css,19a73655,JaredW022,2026-04-09,14:44:52,-07:00,2026-04-09T14:44:52-07:00,0,0
style.css,17,css,0f822460,JaredW022,2026-04-09,14:28:00,-07:00,2026-04-09T14:28:00-07:00,0,3
style.css,18,css,0f822460,JaredW022,2026-04-09,14:28:00,-07:00,2026-04-09T14:28:00-07:00,1,12
style.css,19,css,836cc04f,JaredW022,2026-04-09,14:36:06,-07:00,2026-04-09T14:36:06-07:00,1,17
style.css,20,css,0f822460,JaredW022,2026-04-09,14:28:00,-07:00,2026-04-09T14:28:00-07:00,1,23
style.css,21,css,0f822460,JaredW022,2026-04-09,14:28:00,-07:00,2026-04-09T14:28:00-07:00,1,25
style.css,22,css,247df262,JaredW022,2026-04-17,15:06:38,-07:00,2026-04-17T15:06:38-07:00,1,39
style.css,23,css,247df262,JaredW022,2026-04-17,15:06:38,-07:00,2026-04-17T15:06:38-07:00,1,39
style.css,24,css,0f822460,JaredW022,2026-04-09,14:28:00,-07:00,2026-04-09T14:28:00-07:00,0,0
style.css,25,css,0f822460,JaredW022,2026-04-09,14:28:00,-07:00,2026-04-09T14:28:00-07:00,0,0
style.css,26,css,0f822460,JaredW022,2026-04-09,14:28:00,-07:00,2026-04-09T14:28:00-07:00,0,5
style.css,27,css,0f822460,JaredW022,2026-04-09,14:28:00,-07:00,2026-04-09T14:28:00-07:00,1,6
style.css,28,css,0f822460,JaredW022,2026-04-09,14:28:00,-07:00,2026-04-09T14:28:00-07:00,1,20
style.css,29,css,0f822460,JaredW022,2026-04-09,14:28:00,-07:00,2026-04-09T14:28:00-07:00,1,13
style.css,30,css,0f822460,JaredW022,2026-04-09,14:28:00,-07:00,2026-04-09T14:28:00-07:00,1,17
style.css,31,css,0f822460,JaredW022,2026-04-09,14:28:00,-07:00,2026-04-09T14:28:00-07:00,1,13
style.css,32,css,0f822460,JaredW022,2026-04-09,14:28:00,-07:00,2026-04-09T14:28:00-07:00,0,0
style.css,33,css,0f822460,JaredW022,2026-04-09,14:28:00,-07:00,2026-04-09T14:28:00-07:00,0,0
style.css,34,css,f6d77fa4,JaredW022,2026-04-09,14:17:28,-07:00,2026-04-09T14:17:28-07:00,0,13
style.css,35,css,247df262,JaredW022,2026-04-17,15:06:38,-07:00,2026-04-17T15:06:38-07:00,1,45
style.css,36,css,0f822460,JaredW022,2026-04-09,14:28:00,-07:00,2026-04-09T14:28:00-07:00,1,20
style.css,37,css,19a73655,JaredW022,2026-04-09,14:44:52,-07:00,2026-04-09T14:44:52-07:00,0,0
style.css,38,css,19a73655,JaredW022,2026-04-09,14:44:52,-07:00,2026-04-09T14:44:52-07:00,0,0
style.css,39,css,19a73655,JaredW022,2026-04-09,14:44:52,-07:00,2026-04-09T14:44:52-07:00,0,11
style.css,40,css,247df262,JaredW022,2026-04-17,15:06:38,-07:00,2026-04-17T15:06:38-07:00,1,45
style.css,41,css,247df262,JaredW022,2026-04-17,15:06:38,-07:00,2026-04-17T15:06:38-07:00,1,69
style.css,42,css,19a73655,JaredW022,2026-04-09,14:44:52,-07:00,2026-04-09T14:44:52-07:00,1,20
style.css,43,css,b4e87260,JaredW022,2026-04-09,17:35:42,-07:00,2026-04-09T17:35:42-07:00,0,0
style.css,44,css,b4e87260,JaredW022,2026-04-09,17:35:42,-07:00,2026-04-09T17:35:42-07:00,0,0
style.css,45,css,277669d2,JaredW022,2026-04-09,18:14:29,-07:00,2026-04-09T18:14:29-07:00,0,4
style.css,46,css,426eeccc,JaredW022,2026-04-09,17:50:11,-07:00,2026-04-09T17:50:11-07:00,1,12
style.css,47,css,426eeccc,JaredW022,2026-04-09,17:50:11,-07:00,2026-04-09T17:50:11-07:00,1,30
style.css,48,css,bd68b6b1,JaredW022,2026-04-09,18:35:17,-07:00,2026-04-09T18:35:17-07:00,1,7
style.css,49,css,80e0f945,JaredW022,2026-04-09,19:24:58,-07:00,2026-04-09T19:24:58-07:00,0,0
style.css,50,css,3d426470,JaredW022,2026-04-09,19:08:34,-07:00,2026-04-09T19:08:34-07:00,0,0
style.css,51,css,80e0f945,JaredW022,2026-04-09,19:24:58,-07:00,2026-04-09T19:24:58-07:00,0,11
style.css,52,css,80e0f945,JaredW022,2026-04-09,19:24:58,-07:00,2026-04-09T19:24:58-07:00,1,18
style.css,53,css,2255b27d,JaredW022,2026-04-09,18:41:16,-07:00,2026-04-09T18:41:16-07:00,0,0
style.css,54,css,2255b27d,JaredW022,2026-04-09,18:41:16,-07:00,2026-04-09T18:41:16-07:00,0,0
style.css,55,css,2255b27d,JaredW022,2026-04-09,18:41:16,-07:00,2026-04-09T18:41:16-07:00,0,9
style.css,56,css,42b71ac3,JaredW022,2026-04-09,18:41:57,-07:00,2026-04-09T18:41:57-07:00,1,12
style.css,57,css,fa779557,JaredW022,2026-04-09,18:57:04,-07:00,2026-04-09T18:57:04-07:00,1,58
style.css,58,css,fa779557,JaredW022,2026-04-09,18:57:04,-07:00,2026-04-09T18:57:04-07:00,1,7
style.css,59,css,80e0f945,JaredW022,2026-04-09,19:24:58,-07:00,2026-04-09T19:24:58-07:00,0,0
style.css,60,css,fa779557,JaredW022,2026-04-09,18:57:04,-07:00,2026-04-09T18:57:04-07:00,0,0
style.css,61,css,80e0f945,JaredW022,2026-04-09,19:24:58,-07:00,2026-04-09T19:24:58-07:00,0,17
style.css,62,css,80e0f945,JaredW022,2026-04-09,19:24:58,-07:00,2026-04-09T19:24:58-07:00,1,12
style.css,63,css,80e0f945,JaredW022,2026-04-09,19:24:58,-07:00,2026-04-09T19:24:58-07:00,1,26
style.css,64,css,80e0f945,JaredW022,2026-04-09,19:24:58,-07:00,2026-04-09T19:24:58-07:00,1,15
style.css,65,css,80e0f945,JaredW022,2026-04-09,19:24:58,-07:00,2026-04-09T19:24:58-07:00,0,0
style.css,66,css,fa779557,JaredW022,2026-04-09,18:57:04,-07:00,2026-04-09T18:57:04-07:00,0,0
style.css,67,css,80e0f945,JaredW022,2026-04-09,19:24:58,-07:00,2026-04-09T19:24:58-07:00,0,12
style.css,68,css,80e0f945,JaredW022,2026-04-09,19:24:58,-07:00,2026-04-09T19:24:58-07:00,1,8
style.css,69,css,00d63623,JaredW022,2026-04-09,18:52:16,-07:00,2026-04-09T18:52:16-07:00,0,0
style.css,70,css,00d63623,JaredW022,2026-04-09,18:52:16,-07:00,2026-04-09T18:52:16-07:00,0,0
style.css,71,css,776a3c91,JaredW022,2026-04-09,19:39:58,-07:00,2026-04-09T19:39:58-07:00,0,12
style.css,72,css,00d63623,JaredW022,2026-04-09,18:52:16,-07:00,2026-04-09T18:52:16-07:00,1,14
style.css,73,css,00d63623,JaredW022,2026-04-09,18:52:16,-07:00,2026-04-09T18:52:16-07:00,0,0
style.css,74,css,00d63623,JaredW022,2026-04-09,18:52:16,-07:00,2026-04-09T18:52:16-07:00,0,0
style.css,75,css,00d63623,JaredW022,2026-04-09,18:52:16,-07:00,2026-04-09T18:52:16-07:00,0,22
style.css,76,css,00d63623,JaredW022,2026-04-09,18:52:16,-07:00,2026-04-09T18:52:16-07:00,1,15
style.css,77,css,00d63623,JaredW022,2026-04-09,18:52:16,-07:00,2026-04-09T18:52:16-07:00,1,17
style.css,78,css,83272113,JaredW022,2026-04-09,19:15:22,-07:00,2026-04-09T19:15:22-07:00,0,0
style.css,79,css,83272113,JaredW022,2026-04-09,19:15:22,-07:00,2026-04-09T19:15:22-07:00,0,0
style.css,80,css,d9569c0c,JaredW022,2026-04-09,19:30:02,-07:00,2026-04-09T19:30:02-07:00,0,7
style.css,81,css,83272113,JaredW022,2026-04-09,19:15:22,-07:00,2026-04-09T19:15:22-07:00,2,29
style.css,82,css,83272113,JaredW022,2026-04-09,19:15:22,-07:00,2026-04-09T19:15:22-07:00,2,11
style.css,83,css,83272113,JaredW022,2026-04-09,19:15:22,-07:00,2026-04-09T19:15:22-07:00,2,15
style.css,84,css,80e0f945,JaredW022,2026-04-09,19:24:58,-07:00,2026-04-09T19:24:58-07:00,0,0
style.css,85,css,80e0f945,JaredW022,2026-04-09,19:24:58,-07:00,2026-04-09T19:24:58-07:00,0,0
style.css,86,css,d9569c0c,JaredW022,2026-04-09,19:30:02,-07:00,2026-04-09T19:30:02-07:00,0,10
style.css,87,css,83272113,JaredW022,2026-04-09,19:15:22,-07:00,2026-04-09T19:15:22-07:00,2,17
style.css,88,css,83272113,JaredW022,2026-04-09,19:15:22,-07:00,2026-04-09T19:15:22-07:00,2,17
style.css,89,css,80e0f945,JaredW022,2026-04-09,19:24:58,-07:00,2026-04-09T19:24:58-07:00,0,0
style.css,90,css,80e0f945,JaredW022,2026-04-09,19:24:58,-07:00,2026-04-09T19:24:58-07:00,0,0
style.css,91,css,d9569c0c,JaredW022,2026-04-09,19:30:02,-07:00,2026-04-09T19:30:02-07:00,0,16
style.css,92,css,83272113,JaredW022,2026-04-09,19:15:22,-07:00,2026-04-09T19:15:22-07:00,2,17
style.css,93,css,83272113,JaredW022,2026-04-09,19:15:22,-07:00,2026-04-09T19:15:22-07:00,2,14
style.css,94,css,83272113,JaredW022,2026-04-09,19:15:22,-07:00,2026-04-09T19:15:22-07:00,2,18
style.css,95,css,80e0f945,JaredW022,2026-04-09,19:24:58,-07:00,2026-04-09T19:24:58-07:00,0,0
style.css,96,css,80e0f945,JaredW022,2026-04-09,19:24:58,-07:00,2026-04-09T19:24:58-07:00,0,0
style.css,97,css,d9569c0c,JaredW022,2026-04-09,19:30:02,-07:00,2026-04-09T19:30:02-07:00,0,10
style.css,98,css,83272113,JaredW022,2026-04-09,19:15:22,-07:00,2026-04-09T19:15:22-07:00,2,28
style.css,99,css,83272113,JaredW022,2026-04-09,19:15:22,-07:00,2026-04-09T19:15:22-07:00,2,18
style.css,100,css,83272113,JaredW022,2026-04-09,19:15:22,-07:00,2026-04-09T19:15:22-07:00,2,15
style.css,101,css,80e0f945,JaredW022,2026-04-09,19:24:58,-07:00,2026-04-09T19:24:58-07:00,0,0
style.css,102,css,80e0f945,JaredW022,2026-04-09,19:24:58,-07:00,2026-04-09T19:24:58-07:00,0,0
style.css,103,css,d9569c0c,JaredW022,2026-04-09,19:30:02,-07:00,2026-04-09T19:30:02-07:00,0,14
style.css,104,css,83272113,JaredW022,2026-04-09,19:15:22,-07:00,2026-04-09T19:15:22-07:00,2,18
style.css,105,css,80e0f945,JaredW022,2026-04-09,19:24:58,-07:00,2026-04-09T19:24:58-07:00,0,0
style.css,106,css,80e0f945,JaredW022,2026-04-09,19:24:58,-07:00,2026-04-09T19:24:58-07:00,0,0
style.css,107,css,d9569c0c,JaredW022,2026-04-09,19:30:02,-07:00,2026-04-09T19:30:02-07:00,0,20
style.css,108,css,83272113,JaredW022,2026-04-09,19:15:22,-07:00,2026-04-09T19:15:22-07:00,2,16
style.css,109,css,80e0f945,JaredW022,2026-04-09,19:24:58,-07:00,2026-04-09T19:24:58-07:00,0,0
style.css,110,css,80e0f945,JaredW022,2026-04-09,19:24:58,-07:00,2026-04-09T19:24:58-07:00,0,0
style.css,111,css,d9569c0c,JaredW022,2026-04-09,19:30:02,-07:00,2026-04-09T19:30:02-07:00,0,10
style.css,112,css,83272113,JaredW022,2026-04-09,19:15:22,-07:00,2026-04-09T19:15:22-07:00,2,22
style.css,113,css,0e3c3cae,JaredW022,2026-04-17,15:22:09,-07:00,2026-04-17T15:22:09-07:00,0,0
style.css,114,css,0e3c3cae,JaredW022,2026-04-17,15:22:09,-07:00,2026-04-17T15:22:09-07:00,0,0
style.css,115,css,0e3c3cae,JaredW022,2026-04-17,15:22:09,-07:00,2026-04-17T15:22:09-07:00,0,13
style.css,116,css,0e3c3cae,JaredW022,2026-04-17,15:22:09,-07:00,2026-04-17T15:22:09-07:00,1,17
style.css,117,css,0e3c3cae,JaredW022,2026-04-17,15:22:09,-07:00,2026-04-17T15:22:09-07:00,1,8
style.css,118,css,0e3c3cae,JaredW022,2026-04-17,15:22:09,-07:00,2026-04-17T15:22:09-07:00,1,10
style.css,119,css,0e3c3cae,JaredW022,2026-04-17,15:22:09,-07:00,2026-04-17T15:22:09-07:00,1,13
style.css,120,css,0e3c3cae,JaredW022,2026-04-17,15:22:09,-07:00,2026-04-17T15:22:09-07:00,1,19
style.css,121,css,0e3c3cae,JaredW022,2026-04-17,15:22:09,-07:00,2026-04-17T15:22:09-07:00,0,0
style.css,122,css,8b5ad004,JaredW022,2026-05-01,15:43:47,-07:00,2026-05-01T15:43:47-07:00,0,0
style.css,123,css,8b5ad004,JaredW022,2026-05-01,15:43:47,-07:00,2026-05-01T15:43:47-07:00,0,18
style.css,124,css,8b5ad004,JaredW022,2026-05-01,15:43:47,-07:00,2026-05-01T15:43:47-07:00,1,14
style.css,125,css,8b5ad004,JaredW022,2026-05-01,15:43:47,-07:00,2026-05-01T15:43:47-07:00,1,16
style.css,126,css,8b5ad004,JaredW022,2026-05-01,15:43:47,-07:00,2026-05-01T15:43:47-07:00,0,0
style.css,127,css,8b5ad004,JaredW022,2026-05-01,15:43:47,-07:00,2026-05-01T15:43:47-07:00,1,16
